reactor_name,Isp,thrust
Large_NERVA,5497.737212860879,683634.397216207
Pewee_1,5875.296083222962,576169.7233453846
Phoebus_2A,10170.563156601695,3989566.1271875203
NRX_A6,7791.609550738076,1146143.8170111831
Particle_Bed_Reactor,10503.926885127901,515041.67294019763
